child,parent,exchange_id,n_total_fnn,n_measured_fnn,n_class_2or3,p_class_2or3,section_speed_threshold_average,log_p_value,cni_present,n_unique_cni,cni_ids,cni_re_report_counts,cni_toms_initiation_ts,truck_roll_count_3m,truck_roll_count_6m,truck_roll_count_12m,truck_roll_count_24m,nbn_rfs_3m_count,nbn_rfs_6m_count,nbn_rfs_12m_count,nbn_rfs_24m_count,nbn_rfs_more_than_24m_count,nbn_rfs_already_passed_count,ccp_flag
Cable:16136972,Cable:16136971,PEIN,20,7,1,0.3114943,1.2559775,-0.1153527,0,0,[],[],[],0,0,0,1,9,0,0,0,1,0,b
Cable:16136973;16138999,Cable:16136969,PEIN,227,138,43,0.3114943,1.1824968,-0.3181848,0,0,[],[],[],11,22,47,60,107,0,0,0,1,15,b
Cable:16136974,Main Cable:1,PEIN,446,263,85,0.3114943,1.0215974,-0.4818367,0,0,[],[],[],17,31,63,112,235,0,0,0,2,1,b
Cable:16136975,Cable:16136974,PEIN,9,2,0,0.3114943,1.3969167,-0.1715846,0,0,[],[],[],1,1,1,1,2,0,0,0,1,0,b
Cable:16136976,Cable:16136974,PEIN,338,217,77,0.3114943,1.0051403,-1.0889384,0,0,[],[],[],12,23,49,95,191,0,0,0,0,1,b
Cable:16136977;16136978,Cable:16137217,PEIN,72,51,13,0.3114943,1.0273185,-0.1032696,0,0,[],[],[],3,5,11,14,47,0,0,0,0,0,b
Cable:16136979;16136980,Cable:16136977;16136978,PEIN,69,49,13,0.3114943,1.0223966,-0.135038,0,0,[],[],[],2,4,10,12,44,0,0,0,0,0,b
Cable:16136982,Cable:16136979;16136980,PEIN,24,21,2,0.3114943,1.093495,-0.0069246,0,0,[],[],[],0,0,5,6,16,0,0,0,0,0,b
Cable:16136983,Cable:16136974,PEIN,58,24,3,0.3114943,1.100874,-0.0111811,0,0,[],[],[],2,3,6,6,27,0,0,0,1,0,b
Cable:16136984,Cable:16136983,PEIN,31,14,2,0.3114943,1.0798471,-0.0498456,0,0,[],[],[],1,2,3,3,14,0,0,0,1,0,b
Cable:16136985,Cable:16136984,PEIN,29,14,2,0.3114943,1.0798471,-0.0498456,1,1,[9288417],[1],[2017-01-13 08:57:39],1,2,2,2,14,0,0,0,1,0,b
Cable:16136986,Cable:16136985,PEIN,25,6,1,0.3114943,1.197624,-0.1583979,1,1,[9288417],[1],[2017-01-13 08:57:39],3,3,4,5,11,0,0,0,1,0,b
Cable:16136986,Cable:16137217,PEIN,25,6,1,0.3114943,1.197624,-0.1583979,1,1,[9288417],[1],[2017-01-13 08:57:39],3,3,4,5,11,0,0,0,1,0,b
Cable:16136987;16136988,Cable:16136990;16136992,PEIN,10,1,0,0.3114943,1.3369601,-0.2790474,0,0,[],[],[],2,2,3,4,3,0,0,0,0,0,b
Cable:16136990;16136992,Cable:16136991,PEIN,18,2,0,0.3114943,1.3988577,-0.1715846,0,0,[],[],[],2,2,3,4,6,0,0,0,1,0,b
Cable:16136991,Cable:16136986,PEIN,19,3,0,0.3114943,1.3694666,-0.1105381,0,0,[],[],[],2,2,3,4,7,0,0,0,1,0,b
Cable:16136993,Main Cable:1,PEIN,57,11,1,0.3114943,1.3595003,-0.0328978,0,0,[],[],[],1,3,9,10,7,0,0,0,2,0,b
Cable:16136994,Cable:16136993,PEIN,29,5,0,0.3114943,1.4904428,-0.0489169,0,0,[],[],[],1,3,8,8,3,0,0,0,0,0,b
Cable:16136996,Cable:16136983,PEIN,27,10,1,0.3114943,1.1305819,-0.0450346,0,0,[],[],[],1,1,3,3,13,0,0,0,0,0,b
Cable:16136997,Cable:16136996,PEIN,24,9,1,0.3114943,1.1280665,-0.0615978,0,0,[],[],[],1,1,3,3,12,0,0,0,0,0,b
Cable:16136998,Cable:16136976,PEIN,255,164,64,0.3114943,0.9933168,-1.8219743,0,0,[],[],[],7,16,35,77,141,0,0,0,0,1,b
Cable:16137000,Cable:16136998,PEIN,75,54,20,0.3114943,0.9834736,-0.7874962,0,0,[],[],[],0,2,2,6,37,0,0,0,0,0,b
Cable:16137001;16138944;16138945,Cable:16136998,PEIN,71,42,26,0.3114943,0.859987,-4.721399,0,0,[],[],[],1,6,13,17,43,0,0,0,0,0,b
Cable:16137002;16137012;16137013;16137266,Cable:16136998,PEIN,109,68,18,0.3114943,1.086644,-0.1080676,0,0,[],[],[],6,8,20,54,61,0,0,0,0,1,b
Cable:16137003;16137004,Cable:16136973;16138999,PEIN,70,53,16,0.3114943,1.1649641,-0.2756255,0,0,[],[],[],3,5,14,15,37,0,0,0,0,4,b
Cable:16137005;16137006,Cable:16137000,PEIN,110,73,39,0.3114943,0.8859771,-4.4384647,0,0,[],[],[],1,7,14,21,64,0,0,0,0,0,b
Cable:16137005;16137006,Cable:16137001;16138944;16138945,PEIN,110,73,39,0.3114943,0.8859771,-4.4384647,0,0,[],[],[],1,7,14,21,64,0,0,0,0,0,b
Cable:16137007,Cable:16137000,PEIN,101,69,20,0.3114943,1.0914011,-0.2032979,0,0,[],[],[],5,7,11,46,56,0,0,0,0,0,b
Cable:16137007,Cable:16137002;16137012;16137013;16137266,PEIN,101,69,20,0.3114943,1.0914011,-0.2032979,0,0,[],[],[],5,7,11,46,56,0,0,0,0,0,b
Cable:16137008,Cable:16137005;16137006,PEIN,2,1,0,0.3114943,1.1565539,-0.2790474,0,0,[],[],[],0,0,0,1,0,0,0,0,0,0,b
Cable:16137010,Cable:16137007,PEIN,1,1,0,0.3114943,1.2094981,-0.2790474,0,0,[],[],[],1,1,1,1,1,0,0,0,0,0,b
Cable:16137011,Cable:16136973;16138999,PEIN,85,42,15,0.3114943,1.3025929,-0.6183249,0,0,[],[],[],1,4,15,23,31,0,0,0,1,10,b
Cable:16137014,Cable:16136953,PEIN,21,15,6,0.3114943,0.983445,-0.6914767,0,0,[],[],[],3,5,16,16,12,0,0,0,0,0,b
Cable:16137015,Cable:16137014,PEIN,19,13,5,0.3114943,0.9851588,-0.6032081,0,0,[],[],[],3,5,14,14,12,0,0,0,0,0,b
Cable:16137016,Cable:16137015,PEIN,18,12,4,0.3114943,0.9883462,-0.419578,0,0,[],[],[],3,5,14,14,11,0,0,0,0,0,b
Cable:16137017,Cable:16137016,PEIN,3,3,1,0.3114943,0.8247619,-0.4334155,0,0,[],[],[],0,1,5,5,2,0,0,0,0,0,b
Cable:16137018;16139313,Cable:16137017,PEIN,1,1,0,0.3114943,1.1660649,-0.2790474,0,0,[],[],[],0,0,2,2,1,0,0,0,0,0,b
Cable:16137019,Cable:16137017,PEIN,2,2,1,0.3114943,0.6541104,-0.6370686,0,0,[],[],[],0,1,3,3,1,0,0,0,0,0,b
Cable:16137020;16137021;31016514,Cable:16137016,PEIN,15,9,3,0.3114943,1.0428743,-0.4187542,0,0,[],[],[],3,4,9,9,9,0,0,0,0,0,b
Cable:16137022,Cable:16137020;16137021;31016514,PEIN,5,2,1,0.3114943,0.9070835,-0.6370686,0,0,[],[],[],0,0,2,2,3,0,0,0,0,0,b
Cable:16137023,Cable:16137022,PEIN,2,1,1,0.3114943,0.5435746,-1.0130999,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137024,Cable:16137023,PEIN,1,1,1,0.3114943,0.5435746,-1.0130999,0,0,[],[],[],0,0,0,0,1,0,0,0,0,0,b
Cable:16137027;16140186,Cable:16137022,PEIN,1,1,0,0.3114943,1.2705924,-0.2790474,0,0,[],[],[],0,0,1,1,1,0,0,0,0,0,b
Cable:16137028;16140185,Cable:16137022,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,1,1,1,0,0,0,0,0,b
Cable:16137029,Cable:16137020;16137021;31016514,PEIN,10,7,2,0.3114943,1.0816716,-0.3211765,0,0,[],[],[],3,4,7,7,6,0,0,0,0,0,b
Cable:16137031,Cable:16137169,PEIN,2,2,0,0.3114943,1.2328184,-0.1715846,0,0,[],[],[],2,3,3,3,2,0,0,0,0,0,b
Cable:16137033,Cable:16137169,PEIN,1,1,0,0.3114943,1.1922363,-0.2790474,0,0,[],[],[],1,1,2,2,0,0,0,0,0,0,b
Cable:16137034,Cable:16137169,PEIN,1,0,0,0.3114943,NULL,0,0,0,[],[],[],0,0,0,0,0,0,0,0,0,0,b
